file_name,bbox,race,age,emotion,gender,skintone,masked
cr_0.jpg,"[197, 103, 58, 77]",Negroid,40-50S,Neutral,Male,dark,masked
cr_1.jpg,"[260, 51, 42, 33]",Caucasian,40-50S,Neutral,Male,dark,unmasked
cr_2.jpg,"[153, 35, 80, 110]",Mongoloid,20-30S,Neutral,Male,mid-dark,masked
cr_3.jpg,"[162, 31, 60, 80]",Mongoloid,20-30S,Neutral,Male,mid-dark,masked
cr_4.jpg,"[246, 60, 65, 78]",Negroid,20-30S,Neutral,Male,mid-dark,masked
cr_5.jpg,"[170, 25, 52, 75]",Negroid,20-30S,Neutral,Male,mid-dark,masked
cr_6.jpg,"[158, 47, 98, 154]",Negroid,20-30S,Neutral,Male,dark,masked
cr_7.jpg,"[184, 49, 101, 148]",Caucasian,20-30S,Neutral,Male,dark,masked
cr_8.jpg,"[190, 26, 39, 54]",Caucasian,20-30S,Neutral,Female,light,masked
cr_9.jpg,"[116, 18, 33, 48]",Mongoloid,40-50S,Neutral,Male,light,masked
cr_10.jpg,"[137, 21, 62, 82]",Caucasian,20-30S,Neutral,Male,mid-dark,masked
cr_10.jpg,"[200, 44, 61, 75]",Mongoloid,20-30S,Surprise,Female,mid-dark,masked
cr_12.jpg,"[250, 41, 108, 158]",Negroid,20-30S,Neutral,Male,light,masked
cr_13.jpg,"[109, 48, 95, 120]",Mongoloid,20-30S,Neutral,Male,dark,masked
cr_14.jpg,"[225, 75, 28, 37]",Caucasian,20-30S,Neutral,Male,light,masked
cr_14.jpg,"[117, 32, 45, 63]",Caucasian,20-30S,Neutral,Male,dark,masked
cr_14.jpg,"[282, 90, 27, 34]",Mongoloid,20-30S,Neutral,Female,mid-light,masked
cr_15.jpg,"[166, 43, 79, 114]",Negroid,20-30S,Neutral,Male,dark,masked
cr_16.jpg,"[120, 52, 106, 130]",Negroid,20-30S,Disgust,Female,mid-dark,masked
cr_17.jpg,"[136, 43, 55, 60]",Caucasian,20-30S,Neutral,Male,mid-dark,masked
