cr_3990.jpg,"[135, 40, 102, 132]",Negroid,Teenager,Neutral,Male,mid-light,unmasked
cr_3991.jpg,"[247, 86, 40, 41]",Negroid,20-30s,Neutral,Male,dark,masked
cr_3992.jpg,"[269, 68, 44, 61]",Negroid,20-30s,Neutral,Male,dark,masked
cr_3993.jpg,"[163, 112, 23, 27]",Caucasian,20-30s,Neutral,Male,light,masked
cr_3993.jpg,"[236, 118, 20, 23]",Negroid,20-30s,Neutral,Male,dark,masked
cr_3994.jpg,"[183, 42, 53, 71]",Negroid,20-30s,Neutral,Male,mid-dark,masked
cr_3995.jpg,"[343, 30, 47, 63]",Negroid,20-30s,Neutral,Male,dark,masked
cr_3995.jpg,"[167, 30, 46, 69]",Negroid,20-30s,Neutral,Male,mid-dark,masked
cr_3998.jpg,"[61, 56, 40, 52]",Negroid,Teenager,Neutral,Male,mid-dark,masked
cr_4002.jpg,"[200, 0, 63, 26]",Mongoloid,Teenager,Neutral,Male,mid-light,masked
cr_4003.jpg,"[346, 64, 47, 65]",Negroid,40-50s,Neutral,Male,dark,masked
cr_4006.jpg,"[130, 31, 112, 142]",Negroid,Teenager,Neutral,Male,dark,masked
cr_4007.jpg,"[259, 42, 38, 48]",Negroid,20-30s,Neutral,Female,dark,masked
cr_4007.jpg,"[79, 23, 36, 55]",Negroid,20-30s,Neutral,Male,mid-dark,masked
cr_4008.jpg,"[50, 40, 59, 76]",Negroid,20-30s,Neutral,Female,dark,masked
cr_4009.jpg,"[95, 38, 35, 55]",Caucasian,40-50s,Anger,Male,mid-dark,unmasked
cr_4010.jpg,"[24, 92, 19, 20]",Negroid,Teenager,Neutral,Male,mid-dark,masked
cr_4010.jpg,"[179, 87, 50, 53]",Caucasian,Teenager,Neutral,Female,light,masked
cr_4010.jpg,"[295, 67, 25, 38]",Caucasian,20-30S,Neutral,Male,mid-light,masked
cr_4010.jpg,"[143, 85, 22, 23]",Negroid,Teenager,Neutral,Female,mid-dark,masked
cr_4011.jpg,"[108, 117, 31, 44]",Caucasian,20-30s,Anger,Male,light,unmasked
cr_4011.jpg,"[69, 34, 31, 51]",Negroid,20-30s,Neutral,Female,mid-dark,unmasked
cr_4011.jpg,"[144, 71, 30, 36]",Caucasian,20-30s,Surprise,Female,mid-light,unmasked
cr_4012.jpg,"[218, 0, 155, 169]",Negroid,20-30s,Neutral,Male,dark,masked
cr_4014.jpg,"[144, 23, 35, 47]",Negroid,40-50s,Neutral,Male,dark,masked
cr_4016.jpg,"[188, 57, 101, 133]",Caucasian,20-30s,Surprise,Female,mid-light,masked
cr_4017.jpg,"[0, 41, 49, 144]",Negroid,Teenager,Neutral,Male,mid-dark,masked
cr_4019.jpg,"[181, 21, 69, 110]",Negroid,40-50s,Neutral,Male,dark,masked
cr_4021.jpg,"[0, 16, 30, 98]",Mongoloid,Baby,Neutral,Female,mid-light,masked
cr_4026.jpg,"[261, 61, 30, 46]",Negroid,20-30s,Fear,Female,mid-dark,masked
